source_path,destination_path,database,module,purpose,classification,execution_status,notes
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V027__create_protocol_submission_archive.sql,"",PostgreSQL,Protocol,V027  create protocol submission archive,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V028__create_protocol_action_archive.sql,"",PostgreSQL,Protocol,V028  create protocol action archive,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V029__create_protocol_amend_renewal_archive.sql,"",PostgreSQL,Protocol,V029  create protocol amend renewal archive,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V030__add_archive_list_performance_indexes.sql,"",PostgreSQL,Cross-module/platform,V030  add archive list performance indexes,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V031__add_protocol_unit_name.sql,"",PostgreSQL,Protocol,V031  add protocol unit name,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V032__drop_protocol_archive.sql,"",PostgreSQL,Protocol,"Forward-only removal of the Protocol Archive schema (V021-V029, V031). Protocol Archive is a distinct module from legacy IRB (archive.irb_* tables/views) and is being removed from the application; IRB is untouched","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V033__drop_award_unit_contact_and_proposal_person.sql,"",PostgreSQL,Award,"Schema cleanup: archive.award_unit_contact and archive.proposal_person are no longer part of the application (Award unit-contacts and Proposal people features were removed). Historical migrations V014, V015, and","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V034__create_protocol_archive.sql,"",PostgreSQL,Protocol,"Protocol Archive (new implementation). Oracle-direct only - see etl/load_protocols.py. This is a clean rebuild, not a restoration of the schema dropped by V032; it intentionally has a smaller shape than the old","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V035__create_award_attachment_archive.sql,"",PostgreSQL,Award,"Award Attachment Archive (Sprint 1: foundation only). Oracle-direct, metadata only - see etl/load_award_attachments.py. This migration creates the schema for Award attachment metadata; it does not","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V036__extend_award_attachment_upload_status.sql,"",PostgreSQL,Award,Award Attachment Archive (Sprint 2: resumable S3 upload). Sprint 1's upload_status CHECK constraint only ever needed PENDING and SKIPPED (nothing uploaded anything yet). Sprint 2 introduces the actual,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V037__create_etl_batch_framework.sql,"",PostgreSQL,Cross-module/platform,"Generic ETL batch framework: a deterministic, resumable manifest for ""select exactly N entities, then load/process exactly that membership"" workflows, shared across domains rather than one bespoke batch-table","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V038__create_award_custom_data.sql,"",PostgreSQL,Award,"Award Custom Data: KCOEUS.AWARD_CUSTOM_DATA, a generic key/value (EAV-style) table of custom attribute values attached to an Award, confirmed against the upstream Kuali Coeus source","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V039__create_award_person_units_and_credit_splits.sql,"",PostgreSQL,Award,"Award People expansion: the three remaining tables in Kuali's org.kuali.kra.award.contacts.AwardPerson object graph, confirmed against the upstream Kuali Coeus source (org.kuali.kra.award.contacts.AwardPersonUnit -> A...","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V040__create_award_terms.sql,"",PostgreSQL,Award,"Award Terms: the three real, currently-unarchived tables in Kuali's Award Terms subsystem, confirmed against the upstream Kuali Coeus source (org.kuali.kra.award.home.AwardSponsorTerm -> AWARD_SPONSOR_TERM,","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V041__create_award_contacts.sql,"",PostgreSQL,Award,"Award Contacts: AWARD_SPONSOR_CONTACTS and AWARD_UNIT_CONTACTS, confirmed against both the upstream Kuali Coeus OJB mapping (org.kuali.kra.award.contacts.AwardSponsorContact -> AWARD_SPONSOR_CONTACTS, org.kuali.kra.aw...","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V042__create_award_notepad.sql,"",PostgreSQL,Award,"Award Notepad: free-text notes attached to an Award, confirmed against both the upstream Kuali Coeus OJB mapping (org.kuali.kra.award.notesandattachments.notes.AwardNotepad -> AWARD_NOTEPAD) and the real Oracle bootst...","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V043__create_award_reporting_and_subaward_summary.sql,"",PostgreSQL,Subaward,"Award Reporting and Subaward Summary: the three real, currently- unarchived tables confirmed against the upstream Kuali Coeus source (org.kuali.kra.award.paymentreports.closeout.AwardCloseout ->","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V044__create_award_special_approvals_and_compliance.sql,"",PostgreSQL,Award,"Award Special Approvals and Compliance: the nine real, currently- unarchived tables confirmed against the upstream Kuali Coeus source (org.kuali.kra.award.home.AwardCfda -> AWARD_CFDA,","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V045__create_award_comment.sql,"",PostgreSQL,Award,Award Comment: confirmed against the upstream Kuali Coeus source (org.kuali.kra.award.home.AwardComment -> AWARD_COMMENT). See docs/architecture/AWARD_COMMENT_DESIGN.md. Confirmed distinct from archive.award_notepad: ...,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V046__create_award_extension_and_cgb.sql,"",PostgreSQL,Award,"Award Extension and Award CGB: the two real, confirmed persisted 1:1-with-Award BU-specific extension tables (edu.bu.kuali.kra.award. home.AwardExtension -> AWARD_EXTENSION, org.kuali.kra.award.cgb.","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V047__add_award_basis_and_method_of_payment.sql,"",PostgreSQL,Award,"Corrective migration: adds the two scalar AWARD-level fields (Award.basisOfPaymentCode/Award.methodOfPaymentCode, confirmed at coeus-impl/src/main/resources/org/kuali/kra/award/repository-award.xml","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V048__add_time_and_money_columns_to_award_amount_info.sql,"",PostgreSQL,Award,"Corrective migration: adds the two AWARD_AMOUNT_INFO columns Time and Money's own money-routing algorithm sets on every new row it creates, neither of which archive.award_amount_info has captured","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V049__create_award_time_and_money.sql,"",PostgreSQL,Award,"Award Time and Money: the full subsystem, archived together as one coherent bundle per docs/architecture/AWARD_TIME_AND_MONEY_DESIGN.md. Reuses the already-archived archive.award_amount_info as the anchor","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V050__create_award_budget.sql,"",PostgreSQL,Award,"Award Budget: the deepest, most interconnected Award bundle in this project - five levels of parent/child nesting, and every level is a shared, table-per-subclass Oracle table also used by Proposal","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V051__create_award_budget_person_and_transferring_sponsor.sql,"",PostgreSQL,Award,Final Award gap bundle: the two remaining ARCHIVE_REQUIRED objects identified by docs/architecture/AWARD_COMPLETENESS_REPORT.md. archive.award_budget_person: BUDGET_PERSONS is shared with Proposal,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/database/migrations/V052__create_award_sap_transmission_history.sql,"",PostgreSQL,Award,"SAP Award Transmission History: the separate integration-history subsystem identified by docs/architecture/SAP_AWARD_TRANSMISSION_ASSESSMENT.md. This does NOT rebuild, call, or depend on the operational SAP","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/award/export_award_attachment_files.sql,"",Oracle,Award,"Deduplicated physical-file metadata for every distinct FILE_ID actually referenced by KCOEUS.AWARD_ATTACHMENT - not the whole (shared, much larger) ATTACHMENT_FILE table. One row per physical file; repeated AWARD_ATTA...","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/award/export_award_attachments.sql,"",Oracle,Award,Award attachment references (business/historical grain - one row per KCOEUS.AWARD_ATTACHMENT row). Repeated FILE_ID values are expected: many references may point at the same physical file. This query never reads ATTA...,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/negotiation/export_negotiation_activities.sql,"",Oracle,Negotiation,Export Negotiation activity history to negotiation_activities.csv. NEGOTIATION_ID is the parent foreign key to KCOEUS.NEGOTIATION. Activity type and location retain raw IDs and add lookup codes/descriptions.,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/negotiation/export_negotiation_custom_data.sql,"",Oracle,Negotiation,Export Negotiation custom attribute values to negotiation_custom_data.csv. NEGOTIATION_ID is the parent foreign key. CUSTOM_ATTRIBUTE_ID is retained without a lookup join because its source lookup object is not yet ve...,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/negotiation/export_negotiation_notifications.sql,"",Oracle,Negotiation,Export Negotiation notifications to negotiation_notifications.csv. OWNING_DOCUMENT_ID_FK is the descriptor-defined parent link to NEGOTIATION. NOTIFICATION_TYPE_ID is retained without a lookup join because the common,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/negotiation/export_negotiation_unassociated.sql,"",Oracle,Negotiation,Export details captured when a Negotiation is not linked to another module to negotiation_unassociated.csv. NEGOTIATION_ID is the parent foreign key. Reference codes remain text so values such as unit and sponsor code...,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/negotiation/export_negotiations.sql,"",Oracle,Negotiation,Export one row per Negotiation business object to negotiations.csv. NEGOTIATION_DOCUMENT is the document parent identified by DOCUMENT_NUMBER. Lookup joins are LEFT JOINs so an unknown or inactive lookup value does not,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/negotiation/negotiation_columns.sql,"",Oracle,Negotiation,negotiation columns,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/negotiation/negotiation_relationships.sql,"",Oracle,Negotiation,negotiation relationships,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/negotiation/negotiation_tables.sql,"",Oracle,Negotiation,negotiation tables,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/negotiation/validate_negotiation_exports.sql,"",Oracle,Negotiation,Negotiation Oracle validation package Run locally while connected to BU Oracle. All statements are read-only. Each section corresponds to one CSV export and returns independent result,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/protocol/export_protocol_persons.sql,"",Oracle,Protocol,"Protocol personnel export. Oracle PROTOCOL_ID is retained only as source_protocol_id because KC points it at the current row, not the historical version the child belongs to - the archive parent is resolved later from...","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/protocol/export_protocol_units.sql,"",Oracle,Protocol,Protocol unit export. PROTOCOL_PERSON_ID is the verified physical parent relationship (see archive_etl/pipeline/protocol_parent_resolution.py's OWNER_CHAIN resolution). Protocol number and sequence are retained for au...,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/protocol/export_protocol_versions.sql,"",Oracle,Protocol,Protocol version export. KCOEUS.PROTOCOL is the authoritative parent and every source row is retained. Lookup and document joins are LEFT JOINs so a missing optional record never removes a Protocol version.,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/subaward/export_subaward_amounts.sql,"",Oracle,Subaward,"Export Subaward amount/version rows. File metadata is retained, but the source inventory declares no binary payload on SUBAWARD_AMOUNT_INFO.","Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/subaward/export_subaward_attachments.sql,"",Oracle,Subaward,Export regular Subaward attachment metadata only. FILE_DATA_ID and DOCUMENT_ID are preserved; no binary file content is selected.,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
.claude/worktrees/project-setup-ideas-a01370/oracle/subaward/export_subaward_closeout.sql,"",Oracle,Subaward,Export Subaward closeout milestones. CLOSEOUT_TYPE_CODE is retained without enrichment because CLOSEOUT_TYPE is absent from the verified inventory.,"Generated, temporary, test-fixture, or irrelevant SQL","Excluded duplicate, generated, benchmark, fixture, or irrelevant SQL",Excluded duplicate from a generated Claude worktree; authoritative working-tree file was inventoried separately when present.
